,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.003836949666341146,0.003928343454996745,0.98,0.989998019409784,1,0.125,linear,"{'C': 1, 'gamma': 0.125, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.000539474685246882,0.003854989616378085,0.016179144164088305,0.008248629202994184
1,0.0030607382456461587,0.0007242361704508463,0.9733333333333334,0.9767280649633592,1,0.125,rbf,"{'C': 1, 'gamma': 0.125, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9607843137254902,0.98989898989899,0.9791666666666666,0.9705882352941176,0.002737466561047883,0.00041697504788779235,0.009020673423841885,0.009320355370055428
2,0.0007496674855550131,0.00034435590108235675,0.98,0.989998019409784,1,0.25,linear,"{'C': 1, 'gamma': 0.25, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.00011766068934592294,4.248238794005038e-05,0.016179144164088305,0.008248629202994184
3,0.0007222493489583334,0.0003705024719238281,0.9733333333333334,0.9833630421865717,1,0.25,rbf,"{'C': 1, 'gamma': 0.25, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9607843137254902,1.0,0.9791666666666666,0.9803921568627451,5.856572825409083e-05,3.799766886355693e-05,0.009020673423841885,0.012548254356472291
4,0.0005470911661783854,0.00036295255025227863,0.98,0.989998019409784,1,0.5,linear,"{'C': 1, 'gamma': 0.5, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,4.560066540111408e-05,4.51756898278727e-05,0.016179144164088305,0.008248629202994184
5,0.0007900396982828776,0.00044274330139160156,0.98,0.9699940582293524,1,0.5,rbf,"{'C': 1, 'gamma': 0.5, 'kernel': 'rbf'}",10,0.9803921568627451,0.9595959595959596,0.9803921568627451,0.9797979797979798,0.9791666666666666,0.9705882352941176,6.854201276501091e-05,0.0001063257763925935,0.0005716619504750275,0.008258134973020165
6,0.00046896934509277344,0.0003193219502766927,0.98,0.989998019409784,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,2.5300094703089e-05,1.9815374681008325e-05,0.016179144164088305,0.008248629202994184
7,0.0007497469584147135,0.00036017100016276043,0.9733333333333334,0.9833630421865717,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9411764705882353,1.0,1.0,0.9803921568627451,9.703300958707197e-05,1.284562684408576e-05,0.024414717515722953,0.012548254356472291
8,0.0005892912546793619,0.0012360413869222004,0.98,0.989998019409784,1,2,linear,"{'C': 1, 'gamma': 2, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.00010489990004104636,0.001300535977035756,0.016179144164088305,0.008248629202994184
9,0.0008386770884195963,0.00035651524861653644,0.98,0.9866310160427808,1,2,rbf,"{'C': 1, 'gamma': 2, 'kernel': 'rbf'}",10,0.9803921568627451,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,5.639404428036124e-05,9.425494562303557e-06,0.015924659219017204,0.012625388806224458
